;Lens Epithelial Cells;Macrophage - monocyte derived;Mallassez-derived cells;Mammary Epithelial Cell;Mast cell;mature adipocyte;Melanocyte;Meningeal Cells;mesenchymal precursor cell - adipose;mesenchymal precursor cell - bone marrow;mesenchymal precursor cell - cardiac;Mesenchymal stem cells - adipose;Mesenchymal Stem Cells - amniotic membrane;Mesenchymal Stem Cells - bone marrow;Mesenchymal stem cells - hepatic;Mesenchymal stem cells - umbilical;Mesenchymal Stem Cells - Vertebral;Mesenchymal Stem Cells - Wharton Jelly;Mesothelial Cells;migratory langerhans cells;Multipotent Cord Blood Unrestricted Somatic Stem Cells;Myoblast;nasal epithelial cells;Natural Killer Cells;Neural stem cells;Neurons;Neutrophil;Nucleus Pulposus Cell;Olfactory epithelial cells;Oligodendrocyte - precursors;Osteoblast;Pancreatic stromal cells;Pericytes;Perineurial Cells;Placental Epithelial Cells;Preadipocyte - breast;Preadipocyte - omental;Preadipocyte - perirenal;Preadipocyte - subcutaneous;Preadipocyte - visceral;promyelocytes;Prostate Epithelial Cells;Prostate Stromal Cells;Renal Cortical Epithelial Cells;Renal Epithelial Cells;Renal Glomerular Endothelial Cells;Renal Mesangial Cells;Renal Proximal Tubular Epithelial Cell;Retinal Pigment Epithelial Cells;salivary acinar cells;Schwann Cells;Sebocyte;Sertoli Cells;Skeletal Muscle Cells;Skeletal muscle cells differentiated into Myotubes;Skeletal Muscle Satellite Cells;Small Airway Epithelial Cells;Smooth muscle cells - airway;Smooth Muscle Cells - Aortic;Smooth Muscle Cells - Bladder;Smooth Muscle Cells - Brachiocephalic;Smooth Muscle Cells - Brain Vascular;Smooth Muscle Cells - Bronchial;Smooth Muscle Cells - Carotid;Smooth Muscle Cells - Colonic;Smooth Muscle Cells - Coronary Artery;Smooth Muscle Cells - Esophageal;Smooth Muscle Cells - Internal Thoracic Artery;Smooth Muscle Cells - Intestinal;Smooth Muscle Cells - Prostate;Smooth Muscle Cells - Pulmonary Artery;Smooth Muscle Cells - Subclavian Artery;Smooth Muscle Cells - Tracheal;Smooth Muscle Cells - Umbilical artery;Smooth Muscle Cells - Umbilical Vein;Smooth Muscle Cells - Uterine;Synoviocyte;tenocyte;Trabecular Meshwork Cells;Tracheal Epithelial Cells;Urothelial cells;Adipocyte - breast;Adipocyte - omental;Adipocyte - perirenal;Adipocyte - subcutaneous;Alveolar Epithelial Cells;Amniotic Epithelial Cells;amniotic membrane cells;Anulus Pulposus Cell;Astrocyte - cerebellum;Astrocyte - cerebral cortex;Basophils;Bronchial Epithelial Cell;Cardiac Myocyte;CD133+ stem cells - adult bone marrow derived;CD133+ stem cells - cord blood derived;CD14+ monocyte derived endothelial progenitor cells;CD14+ Monocytes;CD14+ CD16- Monocytes;CD14+ CD16+ Monocytes;CD14- CD16+ Monocytes;CD19+ B Cells;CD34 cells differentiated to erythrocyte lineage;CD34+ Progenitors;CD34+ stem cells - adult bone marrow derived;CD4+ T Cells;CD4+CD25+CD45RA- memory regulatory T cells;CD4+CD25+CD45RA+ naive regulatory T cells;CD4+CD25-CD45RA- memory conventional T cells;CD4+CD25-CD45RA+ naive conventional T cells;CD8+ T Cells;Chondrocyte;chorionic membrane cells;Ciliary Epithelial Cells;common myeloid progenitor CMP;Corneal Epithelial Cells;Dendritic Cells - monocyte immature derived;Dendritic Cells - plasmacytoid;Endothelial Cells - Aortic;Endothelial Cells - Artery;Endothelial Cells - Lymphatic;Endothelial Cells - Microvascular;Endothelial Cells - Thoracic;Endothelial Cells - Umbilical vein;Endothelial Cells - Vein;Eosinophils;Esophageal Epithelial Cells;Fibroblast - Aortic Adventitial;Fibroblast - Cardiac;Fibroblast - Choroid Plexus;Fibroblast - Conjunctival;Fibroblast - Dermal;Fibroblast - Gingival;Fibroblast - Lung;Fibroblast - Lymphatic;Fibroblast - Mammary;Fibroblast - Periodontal Ligament;Fibroblast - Pulmonary Artery;Fibroblast - skin;Fibroblast - Villous Mesenchymal;gamma delta positive T cells;Gingival epithelial cells;granulocyte macrophage progenitor;Hair Follicle Dermal Papilla Cells;Hair Follicle Outer Root Sheath Cells;Hepatic Sinusoidal Endothelial Cells;Hepatic Stellate Cells (lipocyte);Hepatocyte;immature langerhans cells;Intestinal epithelial cells (polarized);Iris Pigment Epithelial Cells;Keratinocyte - epidermal;Keratinocyte - oral;tpm.Keratocytes%2c%20donor1.CNhs11337.11527-119I6;tpm.Keratocytes%2c%20donor2.CNhs12095.11607-120I5;tpm.Keratocytes%2c%20donor3.CNhs12921.11688-122I5
chr15:43398274..43398318,-;1.985599777;10.58120405;9.907313206;8.439575769;18.54214039;30.37523579;4.361927516;2.891647539;6.461962076;7.567088358;6.015021982;6.683971271;6.831517691;3.497568774;4.621515243;0.341465486;4.006103105;7.239216082;7.358785663;15.64538624;5.412361838;8.495042981;6.291233872;16.44159775;3.588250157;3.80388017;40.0413122;3.834456557;5.140377464;3.946937014;3.779955777;8.253943374;1.092090749;4.709530816;3.229496522;6.818999057;6.826472581;2.968361329;5.764642292;7.914555356;14.87966289;5.88278449;4.447161029;3.350167164;2.648509992;1.671167275;1.292145046;1.606170599;2.387928998;9.37781347;4.405103657;4.435078106;8.098901768;4.369106023;4.007170094;5.722074474;6.112207188;6.750362101;3.938736063;6.220931043;7.204348066;5.483842159;2.907388314;2.368925227;6.523070049;2.927058288;3.584458805;6.289784525;3.705594475;6.264703981;4.228218429;4.367761178;3.2113733;3.267805721;4.501777426;10.07688091;5.050213604;5.291217474;0.962697708;6.125492657;2.675997949;6.935914633;7.722514843;6.978708193;3.041126807;1.999964318;3.647109163;7.778503686;4.691293178;1.680830597;3.529273651;12.68419546;3.356449123;4.518151032;4.697607029;0;16.89757859;34.05341694;17.34113559;10.76756158;12.59126502;17.96670776;40.35299596;10.91272873;5.765788227;16.83387214;14.1999023;17.92135928;15.95905735;18.77111422;17.38760948;7.522376663;10.80553664;3.757784533;12.47333332;1.632518191;6.322229834;9.990774196;4.204156312;2.621666898;6.591649807;2.316840868;5.405930452;5.007397289;1.049228862;30.77774803;1.45364684;5.510998866;4.587633952;4.333522145;2.894711217;7.028410591;6.346898481;2.86943957;0.542926501;1.400158064;8.517090962;4.31042296;8.490093733;2.850141431;16.5306878;8.364002301;10.94613895;4.356620008;5.10592938;0.246051818;1.109756655;10.70396117;14.53667643;9.347121329;3.431356206;6.247645259;7.684840948;1.303233221;2.079869571;3.518893631
chr15:43425744..43425811,+;1.60422887;16.08350782;8.092226159;3.634591654;8.997726462;5.943243591;2.749571883;1.534488808;2.221861999;2.236068711;1.940585784;1.723408795;3.022771195;1.603793794;0.831985261;0.865274707;1.869514782;2.197619168;2.186164978;14.44997125;0.958499422;1.803850624;4.399285233;23.57569843;1.540030454;2.908178481;20.33693914;0.832840328;2.341733278;9.021570318;1.974156866;3.475344579;1.483693064;1.92481083;0.403432817;2.163900039;2.732900432;1.484180664;4.014765363;2.76714888;1.908213652;4.680140039;2.451294616;7.862163293;5.829641773;2.708699926;2.87762057;9.481356345;2.625896349;0.941548906;2.330969856;3.512363687;0.803419649;1.92383152;1.580344076;1.818202322;3.382433199;2.986603995;3.547550496;0;2.563355209;3.313516789;1.707427945;1.32232704;1.193891669;1.314276036;2.549365753;8.145533264;1.235198158;2.316824628;0.739224882;1.465344716;1.760101295;2.930181324;1.732851428;1.933760303;1.670537933;0.720533133;1.711797904;6.968488999;3.168541093;1.310598044;1.195369341;2.617015572;1.650176553;9.771936906;1.022121956;5.61381482;0.556948588;2.17331483;2.894391046;18.59790571;2.151900976;1.523117939;9.688814498;9.596285742;21.5751446;8.97570903;15.3359003;13.79133327;15.64713397;40.85409842;2.601648728;15.21689103;8.499895345;13.1987875;15.556651;17.29344078;12.14413185;7.058822828;12.8888186;2.092636358;8.07590133;1.979643947;7.483999993;2.821050213;8.853406736;38.81643609;2.218398143;1.849797437;2.212539362;2.139349653;2.318202163;2.631851293;2.388107846;13.49129333;5.283757765;2.023278369;1.648728058;0.741602034;6.881635215;2.132721243;3.457309655;3.579683199;3.755835189;1.283478225;3.771719536;1.361186198;1.755065252;5.881699191;19.59166976;5.18231061;12.18861925;3.46514679;0.593123705;1.806071406;1.105171921;6.289176573;11.315375;9.470109768;0.857839051;1.910189773;2.592476464;5.864549496;2.079869571;3.016194541
chr15:43425905..43425982,+;1.855443586;0.900957825;2.860611412;2.767795862;3.528702818;5.511064227;5.503792943;2.031905336;2.407760262;3.540198677;2.61229523;2.30948219;2.357925903;2.834829511;1.605412888;1.556027794;2.937808944;1.034173726;3.531586821;0.449960231;1.627869069;2.816848806;2.421102847;2.746065354;4.015780219;6.61335822;0.124834504;1.317218518;2.817490422;3.946937014;1.49219242;2.258973976;1.252979404;1.358585214;0.958463375;2.487233321;1.817911644;2.968361329;2.807217608;3.019761209;3.816427304;2.62800979;2.038431543;3.218689778;2.251185535;3.054502582;2.069199284;3.692441678;2.725321051;1.054233156;1.560613749;1.202700342;5.10989287;2.989309241;2.513852164;1.864379258;2.594419106;3.452487502;4.839642269;0;2.711227543;4.165938397;3.930979479;2.99829207;1.460712755;4.735618105;1.586923175;3.056823469;1.029331799;2.842798673;4.558011865;2.856253953;2.016625527;4.504073798;1.617950259;3.317953461;1.999832826;1.341035967;4.514547909;3.041089456;1.491977129;2.283834229;1.540328205;6.106369669;1.662299588;5.731594066;1.197966608;3.389442096;0.992161475;1.509546532;2.688930575;1.110520619;3.212479202;0.777638055;0.293600439;0;0.246355537;0.368203038;0.319596951;0.423327373;0.542890638;0.879056571;2.664912089;1.401271407;2.404185979;2.931175594;3.799794744;3.374398043;3.355496259;1.859146889;2.765100034;1.791812314;5.910660657;1.299788684;3.741999996;1.713022988;0.163836793;1.884039108;4.618460574;3.245613052;4.783983224;3.173941502;2.464625809;4.467010611;3.558778842;1.731868939;5.381754676;1.714721751;2.308285842;0.993864413;2.606306981;3.066673671;4.063244495;3.182404078;3.682388739;6.062181832;3.451121581;2.041779297;2.471861371;3.026470646;3.111921812;3.675200262;1.703287841;1.164739379;1.18624741;2.435887125;2.436539453;2.062384772;2.321405864;1.844826578;2.573517154;1.770003601;1.296238232;1.303233221;8.319478282;1.00539818
chr15:43477580..43477656,+;18.24918586;42.91627402;42.99292959;23.10340794;54.90896472;52.23057861;30.60696035;14.10732862;24.83699538;19.89764988;21.55568565;24.56292913;36.92900011;11.32894889;18.55957637;22.79661164;17.8939272;29.08613605;41.98071517;52.92783781;37.25481853;32.45990295;15.813706;60.45742753;4.858723278;13.99160469;321.9570477;17.8608069;55.89427155;31.01164797;8.207298286;38.75009205;16.06778969;21.0789779;19.8323059;44.55067859;44.76911597;57.88304591;31.55201027;29.3627319;72.64265298;23.89271442;30.32489764;20.41136974;14.92904316;16.04527271;15.52812459;34.82745192;18.6304118;24.68999029;17.65190005;20.299312;34.96583044;22.96742343;13.15804349;17.48551184;21.6573856;38.76656104;28.39784491;24.88372417;44.14690421;23.33075112;9.655407502;31.20435687;19.1569075;37.51990028;11.66874644;26.28396105;17.49864058;28.54745319;27.74512895;37.20647579;18.45591358;41.94499071;23.18278264;23.00160478;44.74759355;36.74945539;19.90456341;22.83339684;23.29747835;41.09616164;40.8656873;47.97861883;38.20083203;15.20274493;24.06767455;31.41672374;16.30573519;10.2427707;17.20445898;68.98825798;18.22970641;22.28257581;52.84807908;67.1740002;45.70436187;47.40408456;69.73466003;77.04998096;104.9119527;100.3210312;277.5677582;59.22401665;44.33947981;88.79697894;106.7947949;113.9388536;78.13145103;75.93248178;66.75290204;22.38672757;44.60040049;16.78090186;62.02444625;8.141945368;59.07818092;29.73747629;27.22047382;23.75241733;17.08872497;31.3617108;24.73069766;24.86654454;29.15840263;158.2776401;17.15065417;31.86511449;28.95839547;14.70260995;19.89794763;33.55595218;34.28270443;38.9366204;21.26721362;28.05535725;35.78460507;22.68643663;27.46173647;28.24485844;86.02328162;36.22578048;53.91446644;29.90394343;33.52521203;17.30766888;14.0794437;32.39316003;23.12151779;11.06895947;19.04402694;17.08768982;12.77720543;22.15496476;43.67726098;29.65924632
chr15:43622736..43622799,-;1.74782581;1.616684959;2.100212957;4.178811618;4.175914492;2.492811313;6.486503653;4.510059132;4.765779525;2.167688104;3.537532474;7.265670029;3.675777438;4.104486673;3.22034873;3.937425253;4.273176646;2.197619168;3.601848803;3.332155695;2.371496095;4.042045168;3.489644541;7.376731544;5.143743319;9.781541351;3.433664183;4.289699781;3.427220943;4.510785159;5.44597679;3.822879037;5.073634595;2.423486887;8.679784643;5.287679023;3.474686251;11.87344532;5.572737399;5.076994937;1.272142435;4.395230197;3.566174483;2.976367123;2.427690137;2.727519978;2.732774686;6.889102145;5.852641499;3.336802151;4.690006838;5.137571975;10.79853569;4.77459436;6.487309166;3.10906652;2.649577857;3.441806927;3.351653141;4.976744835;4.216951263;3.743150544;5.468530231;6.850066537;4.015727066;7.696760349;2.716161339;4.550435545;3.499728116;2.975247098;4.207198327;5.105915907;2.930034906;3.424879091;2.609168379;2.803237414;5.294067398;4.51432146;5.267689513;5.846981855;2.137329124;4.658507648;4.761939019;3.489354096;5.748249341;5.844488175;4.676455922;3.34043261;2.99846592;8.073137621;5.314641691;3.3647262;5.202636428;3.156066402;3.523205272;0;2.334714268;2.564037914;2.632917985;2.253381097;2.800912251;10.40826755;10.09460188;2.242034252;4.644793455;8.050114042;6.445529685;10.5655905;7.042380954;7.028572262;6.79491603;3.632904889;3.868700748;4.188060426;0;3.232761622;1.351898148;4.21697869;2.011778025;2.53886033;2.656207264;1.709914823;4.857643759;2.041196443;3.775929888;2.171136997;3.830110924;2.940341421;3.493842187;3.438478111;2.721391903;4.256864901;4.282785718;3.920981803;5.879545034;4.311984252;3.910096482;3.062668945;3.492462418;4.065366422;6.8542495;3.337463278;3.326466885;4.385691356;2.708106971;3.257751258;4.373954631;5.098659584;7.490818846;4.304595349;2.916652775;4.878608287;2.314711129;2.606466442;4.159739141;3.770243176
chr15:43622843..43622922,+;2.789785509;4.981237053;2.891289517;3.950911431;5.274090392;6.631090504;3.872043827;3.087642187;5.953024105;5.582587549;5.639752546;2.618103836;4.340622729;2.028350704;2.415628177;2.917682761;1.068294161;4.653781767;4.949771796;3.368574064;3.974612705;6.275669429;4.686842605;4.598383209;7.161037604;4.362281019;1.093617701;3.932820423;7.404747474;3.383088869;3.936945999;3.214693735;1.026823696;4.004690319;2.320851086;3.247832887;7.659547259;1.484180664;2.938136686;5.174851255;3.381644629;4.62321162;3.286042891;2.305013908;2.222030399;0.624836643;1.292145046;0.903544816;4.698280727;9.806524653;3.73070265;2.21207502;3.503053572;4.554097341;4.451125754;6.434664309;2.887830733;7.622250441;3.419779068;3.732558626;4.041199063;4.149430801;1.197796366;2.064801285;4.467349401;2.449191218;3.554510077;3.832249611;4.529059914;6.527277251;0.791015048;3.377664673;1.965458091;2.228426594;2.715590553;4.896952701;7.04433985;8.056866719;0.952851556;2.315149557;1.007272102;7.130447501;7.078121927;5.234031145;7.337649851;0.245733937;1.388919796;5.332822588;2.934552091;1.70066782;6.345759902;2.088816892;2.412926843;2.492164776;2.642403954;0;5.491605148;1.72476725;2.55969424;3.032278481;2.338289867;2.974089236;12.0299562;2.722984693;5.730676944;5.431647058;6.389379187;6.137800487;3.601573919;6.415685034;3.805518035;7.018364127;3.357896999;5.657966807;0;2.007628737;1.688657973;3.498728184;1.484720426;1.06448028;3.47229811;2.316840868;1.913131189;2.300702872;0.438556382;5.246013404;8.2327793;4.295455717;3.307991246;3.806293866;3.276348458;4.544427717;5.30581572;2.528140966;0.792064592;0.350039516;5.348190612;1.928347114;7.492467045;2.415122124;4.056262171;3.406089018;5.410453464;3.404098086;3.997782568;0.467472579;1.73697703;6.113788902;2.609426561;8.363213821;5.147034309;5.018411372;4.351656922;4.235507969;1.039934785;7.540486353
chr15:43663214..43663261,-;1.8612924;5.74148536;4.116442655;4.099725007;4.509758334;2.373460109;5.343082596;2.552659632;3.321998916;3.093696318;3.765115502;5.236207672;3.010932146;3.024958406;3.969269004;3.14547338;1.602441242;1.809804021;2.361180848;3.263677157;3.759740309;3.240841407;5.9910083;6.221998879;6.968793815;6.722767421;15.83779207;3.342228227;3.485925586;0.563848145;4.152883894;3.996646266;2.308382614;3.106013998;4.895926932;2.751617272;3.740737009;2.968361329;2.061258328;1.816728577;10.7810051;4.755562284;4.1120182;3.653166542;1.819844971;1.697502882;1.879732272;3.608832374;4.4782586;7.341753578;3.720903941;2.408987314;3.792428547;6.472773333;3.644651004;4.030748525;5.526836644;2.27464949;3.166470235;1.244186209;2.506836411;3.189463999;2.907388314;5.534779151;4.076737462;4.573924496;4.084917445;2.558952777;3.499728116;3.495938001;3.310128209;2.680709586;2.119402076;1.781681395;2.479213105;2.918586844;3.745763932;4.098147887;3.020388924;8.583828581;3.773251851;2.893713656;4.521653336;4.361692621;1.951810812;5.067885724;3.755848922;5.427478494;4.282123088;3.062700395;3.702205324;2.662832597;6.307116959;2.055493553;4.110406151;0;7.466578569;3.088796636;2.005083546;2.041391553;2.870708484;8.508476322;5.966516022;4.404510382;5.896558891;3.824180007;3.438937054;4.780752552;3.172132461;4.151814118;5.779783828;3.954236981;4.501186139;3.952713805;7.483999993;1.719512142;5.040342351;4.180354649;1.607202102;2.312875755;2.113939128;3.069922749;1.508060215;2.777251846;3.325941678;2.171136997;1.744376209;3.038437966;4.061288898;3.277369421;3.657293768;3.213319246;4.408273925;5.691797566;2.366595066;1.097507278;3.712015001;1.928347114;3.986315344;2.606779197;7.444547804;5.972611446;10.01438623;4.478362505;4.333394719;1.205628034;1.862016642;8.860048663;2.28557239;4.796549103;1.029406862;3.668664463;4.536833813;2.280658137;1.039934785;9.551282714
chr17:55162567..55162594,+;1.571991322;1.411908541;0.348279914;2.581934373;1.683375006;2.988070563;1.792571581;3.975502463;0.881468303;1.936841834;1.300173535;1.331719711;3.143901205;2.423507894;1.416137595;0.997761957;0.801220621;1.034173726;1.60568233;1.596106712;2.346743636;1.737979949;2.037857548;0.505707587;2.444824348;3.601955987;0;1.494927015;1.702906955;2.25539258;2.094961629;1.477021446;2.63252707;1.231127026;2.422139369;1.55375142;1.336256526;0;2.097093538;2.110608275;0;1.90434423;1.376478968;3.526751127;1.769498306;3.535806188;1.495160045;2.821511696;2.957557209;2.308424791;2.774968816;2.01169144;1.606839298;2.463319483;1.311218111;2.115633582;0.822858076;2.020153509;1.637366679;1.244186209;1.073476439;1.425060011;2.307408129;4.269005812;0.964929897;0.96041174;2.014659458;1.651109584;1.646930878;1.449789616;5.186828673;1.027454382;1.645187579;1.156355981;1.062249141;1.871729201;2.293130297;1.461276781;4.154767038;1.088348935;0.720117852;1.962683443;1.901352324;0;1.030579715;2.930365876;2.54823155;2.796956841;1.054044652;3.679093311;2.351664599;0.437575379;2.946165095;0.969046837;2.055203075;0;1.245563322;0.260098305;0.619545352;0.420913932;0.66466674;0.78180244;0.961390655;0.660856643;2.042378379;1.332985545;0.786753885;1.868602322;1.002811402;1.867940285;0.82464259;2.101684507;1.755917735;2.155656621;1.247333332;2.131223551;3.250979391;1.318413275;2.449619045;2.639662842;1.602745308;2.001132435;2.944512571;2.264641251;2.5591854;0;5.236389992;1.686792315;1.906085346;1.585225442;2.545996795;2.930708347;1.521183418;3.042108949;2.219702165;1.79758631;2.275195267;1.134321832;1.896826815;1.143739329;1.322583886;0.671268512;7.459454468;1.410775471;1.650615338;4.704689819;1.447386141;3.831109236;1.772577801;3.320687841;1.029406862;2.035308913;1.851768903;2.606466442;2.079869571;1.759446816
chr17:55162595..55162624,+;3.461643509;2.658940959;3.634216618;10.56234436;4.520225791;17.98837701;6.666105399;8.747141571;1.761963028;2.106492646;2.67288102;3.302171888;2.74499403;5.416850573;3.424601762;4.347363083;2.670735403;2.326890884;4.794111225;5.895725259;2.706180919;2.788752837;7.595786086;4.297627835;2.683456263;4.117468564;0.069069252;3.452262239;2.95911022;6.766177739;2.417400884;2.432741205;10.66236855;4.809378531;8.374936756;1.338195899;1.964291355;1.484180664;3.431963225;3.524292802;5.088569739;10.3822764;3.362151021;8.841577856;7.564541423;7.437777579;4.219877994;9.176688052;4.656000377;9.816291235;3.908066846;8.60472813;7.584857094;5.161993802;3.151062828;5.257566095;5.512402598;2.808529375;2.778898523;3.732558626;2.739360431;3.232748043;5.812612624;18.78532377;2.122344418;2.882485755;4.264609813;2.563930929;6.793589872;1.910595241;2.636885852;3.444696898;4.871865531;2.729494641;3.341030529;2.865268517;2.58794007;1.852971177;5.38433442;6.561121133;6.545466418;2.63740716;2.582026462;2.617015572;4.55566891;9.66746064;5.43602388;6.171834985;3.804977866;7.33955047;3.288364806;3.298332281;7.440505153;4.997443109;8.80801318;0;2.799898553;1.92128801;3.683537679;4.021733854;1.798937213;5.381993688;2.841996392;0.280254281;9.552970995;6.939288094;4.973478205;7.973395724;6.316704855;8.61335445;6.95270087;4.078532353;4.491212561;3.522130149;7.483999993;9.167304745;3.268867628;2.258999971;8.513269343;6.562203544;4.151574402;4.178275665;5.739393567;5.089779801;4.791209448;0.439268058;26.74234476;4.253101467;3.142869179;6.713034943;5.646950144;6.672833192;3.528986286;6.252847124;6.847301267;7.626408465;3.148614942;3.062668945;2.507459095;5.180834974;4.01869151;8.224782908;9.368083125;1.318104322;3.301230675;7.62793929;4.562315288;32.68337374;5.246066454;17.83332359;2.058813724;10.84418633;8.888490735;1.303233221;11.43928264;3.518893631
chr17:55162631..55162650,+;3.571232337;3.44302609;1.875345693;5.802264865;2.435245375;24.45905987;2.319812824;6.969954576;1.612708225;0.671817177;1.801530592;0.699929965;0.918944359;1.700478662;1.117927931;1.813180178;1.068294161;0.646358579;1.068405777;2.54682575;2.536863572;1.921611195;5.677341489;3.807072034;2.333239744;1.398250485;0.193903756;1.372235524;1.2102755;3.946937014;0.673485316;1.824555904;13.93267471;2.51217791;1.614714306;0.793151853;0.972742281;2.968361329;0.791499905;0.711222982;15.71702265;9.090157977;1.876758317;3.444289585;7.597972309;4.531456626;3.00906542;5.045892115;2.299199828;5.44958772;1.562246867;4.258108441;0;2.334063747;2.350099849;1.812492517;2.955014139;0.888763791;0.53836101;2.488372417;0.861797838;2.119695886;0.981662868;0.791988293;0.860446813;0.752598094;2.335497611;0.470654856;6.175990792;1.222289763;1.104200982;0.36729662;2.595646437;1.816394094;0.599265404;2.111140835;0.62164935;1.47112647;4.417595305;2.93527272;1.282413867;1.722588019;2.426217766;0;4.173011629;3.403984499;4.714556725;4.527832537;1.738820897;2.575559464;0.780081788;2.15002238;7.706149445;1.419844193;5.284807908;0;1.685741937;1.344479663;1.583706658;1.405294795;0.836811563;3.301004906;1.180650532;0.560508563;5.203908774;3.212305394;2.520711739;4.034149172;2.845519757;3.180981831;3.717921436;1.26639626;3.064575462;1.269705367;1.247333332;6.144317973;5.352727944;2.347644556;3.459624984;3.613946611;4.395767127;2.30747889;2.318202163;2.103823508;4.469840909;6.920444362;5.429122449;1.028835801;2.21184652;8.977574108;1.873187592;2.369168705;1.020986357;1.50480187;1.823668565;4.342640383;1.725547176;2.041779297;0.844181099;2.504637819;1.939620572;4.67746181;8.782043571;0.521498441;2.475923007;2.962437325;3.117985637;22.04179684;4.508097973;15.12757794;1.200974672;3.921291605;2.592476464;1.629041527;8.319478282;2.010796361
chr17:55333876..55333939,+;7.612755801;0.649938453;0.875966521;3.437683241;7.043592238;5.722104951;6.916027444;5.464356508;1.674583786;2.257759781;1.507658922;2.923603472;2.756833078;1.444257603;1.830087178;2.673800921;0;3.878151473;7.129128672;1.415599384;2.202178748;3.52623639;6.047924648;7.583149377;11.52703434;5.215107734;11.89976286;2.733367983;2.43642385;0;3.677243496;1.303254217;4.984761751;1.317474206;5.245008202;0.264383951;1.026077138;1.484180664;3.103973198;1.545025324;6.996783391;4.184582524;1.45413572;4.440042762;3.964893656;3.429597484;3.935530522;5.239572009;4.146557368;7.99975658;2.604289152;1.132227906;1.606839298;7.320860773;6.926403738;2.801601531;2.572915837;2.660127748;2.355989842;4.976744835;3.324403389;4.24334433;2.093438635;17.95790074;3.449812884;4.887596889;2.703336438;1.993618148;1.029331799;2.352632818;3.571553776;5.399898151;0.861153398;4.639487871;2.722471524;1.286269277;0.96601613;0.834681784;4.60569577;5.305498987;2.865597769;0.609879427;1.415439055;1.744677048;0.769394087;2.97448222;12.32903431;14.22011396;4.016670192;7.388291759;14.23087148;8.58711541;6.13007362;1.416180744;31.70884745;9.596285742;1.162604438;3.527565623;3.721364984;3.7353158;2.196817878;11.21490178;1.201738319;17.98145564;15.28595138;13.34838871;10.77184222;15.84783315;11.62273267;16.77553788;14.12071962;5.990190583;5.892761103;16.38510016;44.90399996;5.202975579;3.265637259;3.091284288;6.997908304;4.35671096;1.55607144;1.110179003;2.539441597;4.526383984;6.957565777;25.98214319;3.68474624;1.6492461;3.246122717;10.22223913;2.42952801;2.885743271;2.286723492;1.50480187;3.267157718;0.583399193;2.37244921;0.340296549;2.235102587;0.900694331;7.431178613;4.042541406;24.83804604;1.625189117;1.547187151;2.519595803;2.140909817;2.128635637;12.10278362;2.951722525;2.573517154;2.315599994;2.8702418;1.954849832;2.079869571;2.010796361
chr17:55761051..55761056,+;4.634388307;0.291689813;1.093895903;0.917543597;2.280919718;0.743925821;1.509402957;0.765333692;0.788508569;0.779017912;0.439908855;0.081434046;0.79781435;0.215903907;1.519623838;1.013406189;0.26707354;2.326890884;3.072933613;0.109043596;1.05355939;2.40367738;0.608636021;5.103414062;3.334155532;1.767690933;0;1.765296758;1.853105722;0;0.511425156;0.521301687;1.971987948;1.281050884;1.261345187;0.388437855;0.642509038;0;0.478197102;0.583243947;0;1.517275507;0.81528767;2.195321342;1.502019642;1.074090052;0.876352724;1.713953146;2.059093362;1.292356505;1.484256066;0.198647937;0.803419649;1.521557224;2.581603692;0.782273483;0.807139362;1.202666864;0.350559756;3.732558626;0.762395316;1.474381998;1.495622454;0;1.732097556;0.207813646;0.812698938;0.774641021;0.20586636;1.0287973;0.155370497;0.29230059;0.835446992;0.536534559;0.976164016;0.523428822;1.141126344;1.728972838;0.243135965;0.256592301;0.666691163;1.112708592;0.576534295;0.872338524;0.174123752;0.081911312;3.597841691;3.946987411;1.365491186;2.204830383;5.973381813;1.387960976;0.580772375;3.907332944;6.165609226;0;0.376426125;0.83229659;0.469773844;0.421813274;0.198916677;2.22999365;0.63250084;1.401271407;4.479832886;3.713253146;4.384554299;1.748416549;1.961477128;5.502232498;2.456626967;0.444549209;4.041167977;7.46793447;0;0.490053154;0.515254487;0.985633718;0.228112111;0.553777997;0.290866594;0.550408513;1.545468109;0.815344003;0.061067248;1.29260088;0.290729368;1.102890752;0.581837172;2.251438633;0.497414094;0.29826912;0.535213427;1.009450406;0.792064592;0;0.610772711;0.567160916;0.777791695;0.749549967;2.393005421;0.632772738;0;0.643240938;1.882799302;0.934945159;0.208079373;2.644237503;1.624257381;1.352872824;2.230381534;0.829123771;1.574003568;0.977424916;1.039934785;0.754048635
