k;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value;Enhancers;Promoters;E value
;Alveolar Epithelial Cells;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr3:195542423-195542578, chr3:134069780-134070244; chr6:30899898..30899920,-, chr6:41715128..41715142,-; 52.354697569345618; chr3:195542423-195542578, chr3:134069780-134070244; chr6:30899898..30899920,-, chr14:36988729..36988748,-; 48.799442567303075; chr3:195542423-195542578, chr3:134069780-134070244; chr6:30899898..30899920,-, chr2:85895315..85895331,-; 46.931847880366234; chr3:195542423-195542578, chr3:134069780-134070244; chr6:30899898..30899920,-, chr17:171082..171101,+; 45.746762879685384; chr3:195542423-195542578, chr3:134069780-134070244; chr6:30899898..30899920,-, chr2:186611438..186611463,+; 43.370388244812268
3;chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr6:41715128..41715142,-; 54.745896499599333; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr9:95736796..95736808,+; 54.554759665833032; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932; chr6:30899898..30899920,-, chr14:36989940..36989957,-, chr17:171082..171101,+; 49.684808506914109; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932; chr6:30899898..30899920,-, chr14:36989940..36989957,-, chr6:41715128..41715142,-; 48.239167947301361; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr7:142583478..142583496,-; 47.92150391371792
4;chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932, chr5:147218600-147219023; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr2:186611438..186611463,+, chr14:36988729..36988748,-; 58.164253723273816; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932, chr5:147218600-147219023; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr14:36989940..36989957,-, chr17:171082..171101,+; 56.115115401780635; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932, chr5:147218600-147219023; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr14:36989940..36989957,-, chr6:41715128..41715142,-; 54.774542398132873; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932, chr5:147218600-147219023; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr2:186611438..186611463,+, chr6:41715128..41715142,-; 54.746851339734327; chr3:195542423-195542578, chr3:134069780-134070244, chr22:50342658-50342932, chr5:147218600-147219023; chr6:30899898..30899920,-, chr2:85895315..85895331,-, chr2:186611438..186611463,+, chr9:95736796..95736808,+; 54.222350115949901
;Amniotic Epithelial Cells;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr11:2198525-2198662, chr19:9120594-9120838; chr12:6484376..6484402,-, chr5:89143573..89143607,-; 55.934771105433846; chr11:2198525-2198662, chr19:9120594-9120838; chr12:6484376..6484402,-, chr1:209704633..209704641,+; 53.297801863081176; chr11:2198525-2198662, chr19:9120594-9120838; chr12:6484376..6484402,-, chr8:29452974..29452996,+; 52.869682150793317; chr11:2198525-2198662, chr19:9120594-9120838; chr12:6484376..6484402,-, chr5:153855055..153855066,-; 52.032056626751874; chr11:2198525-2198662, chr19:9120594-9120838; chr12:6484376..6484402,-, chr11:8857295..8857310,-; 51.740438851715233
3;chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr5:170176045..170176055,-; 68.429678556417954; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr11:8857197..8857204,-; 65.341876467263731; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr2:237683203..237683210,+; 64.833075599913997; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr2:237683020..237683029,+; 63.567803601742682; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr5:153855055..153855066,-; 63.557035329417808
4;chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549, chr2:161079390-161079792; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr19:1584937..1584949,-, chr2:237683020..237683029,+; 65.18638035599011; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549, chr2:161079390-161079792; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr19:1584937..1584949,-, chr2:237683038..237683048,+; 65.152173754438962; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549, chr2:161079390-161079792; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr2:237683109..237683120,+, chr19:1584937..1584949,-; 63.86046732443571; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549, chr2:161079390-161079792; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr2:237683109..237683120,+, chr3:123512732..123512741,-; 63.588443397814586; chr11:2198525-2198662, chr19:9120594-9120838, chr5:170179191-170179549, chr2:161079390-161079792; chr17:74007653..74007657,-, chr1:209704633..209704641,+, chr2:237683109..237683120,+, chr2:237683203..237683210,+; 62.233210422073469
;amniotic membrane cells;;;;;;;;;;;;;;
1;chr5:95507678-95508048,; chr10:125605892..125605911,-,; 80.531597392849434; chr5:95507678-95508048,; chr11:1973029..1973054,+,; 79.450636354019252; chr5:95507678-95508048,; chr1:43426742..43426751,-,; 78.865115791319568; chr5:95507678-95508048,; chr10:50818343..50818362,+,; 77.468874449497221; chr5:95507678-95508048,; chr17:38859399..38859408,-,; 76.973433973366724
2;chr5:95507678-95508048, chr22:50341970-50342055; chr8:85096990..85097022,+, chr13:68765236..68765243,+; 96.196637961025658; chr5:95507678-95508048, chr22:50341970-50342055; chr8:85096990..85097022,+, chr6:25218773..25218788,-; 94.94330199171921; chr5:95507678-95508048, chr22:50341970-50342055; chr8:85096990..85097022,+, chr10:50818343..50818362,+; 94.44072667729435; chr5:95507678-95508048, chr22:50341970-50342055; chr8:85096990..85097022,+, chr7:136953060..136953106,-; 94.353861808134482; chr5:95507678-95508048, chr22:50341970-50342055; chr8:85096990..85097022,+, chr10:125605892..125605911,-; 94.15531353576911
3;chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080; chr8:85096990..85097022,+, chr17:38859399..38859408,-, chr11:8857197..8857204,-; 96.050297069689449; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080; chr8:85096990..85097022,+, chr17:38859399..38859408,-, chr10:88734366..88734378,-; 95.9210778017911; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080; chr8:85096990..85097022,+, chr10:125605892..125605911,-, chr19:9066668..9066678,-; 95.635718585182246; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080; chr8:85096990..85097022,+, chr10:125605892..125605911,-, chr1:43426742..43426751,-; 95.554956542745785; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080; chr8:85096990..85097022,+, chr17:38859399..38859408,-, chr11:1973029..1973054,+; 95.463426227984456
4;chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080, chr19:5141795-5142033; chr8:85096990..85097022,+, chr17:38859399..38859408,-, chr10:125605892..125605911,-, chr13:68765236..68765243,+; 97.951417984635043; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080, chr19:5141795-5142033; chr8:85096990..85097022,+, chr10:125605892..125605911,-, chr19:9066668..9066678,-, chr11:1973029..1973054,+; 97.244481552577781; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080, chr19:5141795-5142033; chr8:85096990..85097022,+, chr10:125605892..125605911,-, chr19:9066668..9066678,-, chr7:30389043..30389058,+; 97.101139603220545; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080, chr19:5141795-5142033; chr8:85096990..85097022,+, chr17:38859399..38859408,-, chr10:125605892..125605911,-, chr7:30389043..30389058,+; 97.031097514330071; chr5:95507678-95508048, chr22:50341970-50342055, chr11:69894907-69895080, chr19:5141795-5142033; chr8:85096990..85097022,+, chr17:38859399..38859408,-, chr10:125605892..125605911,-, chr1:43534539..43534544,+; 96.472389688994483
;Astrocyte - cerebellum;;;;;;;;;;;;;;
1;chr3:181446923-181447316,; chr17:56494980..56494991,-,; 28.285147182723406; chr3:181446923-181447316,; chr7:27162340..27162384,-,; 19.096978352666756;;;;;;;;;
2;chr3:181446923-181447316, chr6:45633739-45634017; chr5:87980660..87980676,-, chr7:155256607..155256614,+; 67.059678991406429; chr3:181446923-181447316, chr6:45633739-45634017; chr5:87980660..87980676,-, chr16:88901909..88901912,-; 66.68740098072135; chr3:181446923-181447316, chr6:45633739-45634017; chr5:87980660..87980676,-, chr10:48439285..48439302,-; 65.967663493396842; chr3:181446923-181447316, chr6:45633739-45634017; chr5:87980660..87980676,-, chr3:147088197..147088208,-; 64.658485822487634; chr3:181446923-181447316, chr6:45633739-45634017; chr5:87980660..87980676,-, chr3:147124547..147124563,-; 64.521983885236438
3;chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102; chr5:87980660..87980676,-, chr5:87981007..87981018,+, chr10:48439285..48439302,-; 76.971610578114877; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102; chr5:87980660..87980676,-, chr5:87981007..87981018,+, chr7:155256607..155256614,+; 72.850054345773884; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102; chr5:87980660..87980676,-, chr2:48919688..48919703,+, chr5:87980633..87980649,-; 71.670928526201465; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102; chr5:87980660..87980676,-, chr5:87981007..87981018,+, chr16:88901909..88901912,-; 71.197124543907535; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102; chr5:87980660..87980676,-, chr5:87981007..87981018,+, chrX:136648753..136648767,+; 69.102695576721842
4;chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102, chr22:30650339-30650644; chr5:87980660..87980676,-, chr2:48919688..48919703,+, chr5:87981007..87981018,+, chr10:48439285..48439302,-; 78.248415491168018; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102, chr22:30650339-30650644; chr5:87980660..87980676,-, chr5:87981007..87981018,+, chr5:87980633..87980649,-, chr10:48439285..48439302,-; 78.206064460676117; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102, chr22:30650339-30650644; chr5:87980660..87980676,-, chr2:48919688..48919703,+, chr5:87980633..87980649,-, chr10:48439285..48439302,-; 74.365151772217516; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102, chr22:30650339-30650644; chr5:87980660..87980676,-, chr5:87981007..87981018,+, chr5:87980633..87980649,-, chr7:155256607..155256614,+; 73.218416177359643; chr3:181446923-181447316, chr6:45633739-45634017, chr5:92932960-92933102, chr22:30650339-30650644; chr5:87980660..87980676,-, chr2:48919688..48919703,+, chr5:87981007..87981018,+, chrX:136648753..136648767,+; 72.402344397496307
;Astrocyte - cerebral cortex;;;;;;;;;;;;;;
1;chrX:25029418-25029558,; chr1:98552894..98552910,+,; 74.225991333006647; chrX:25029418-25029558,; chr15:24672390..24672439,+,; 65.533262979080504; chrX:25029418-25029558,; chr2:48919688..48919703,+,; 63.776701290981443; chrX:25029418-25029558,; chr9:132962843..132962866,+,; 58.64213635653801; chrX:25029418-25029558,; chr12:50356691..50356710,-,; 53.327411248956224
2;chrX:25029418-25029558, chr16:56330131-56330433; chr17:42990736..42990746,+, chr17:42991135..42991154,+; 82.825652743919733; chrX:25029418-25029558, chr16:56330131-56330433; chr17:42990736..42990746,+, chr17:42984138..42984151,-; 82.118324523618071; chrX:25029418-25029558, chr16:56330131-56330433; chr17:42990736..42990746,+, chr20:35856764..35856768,+; 80.660235648434835; chrX:25029418-25029558, chr16:56330131-56330433; chr17:42990736..42990746,+, chr17:42983783..42983793,-; 80.629212480877726; chrX:25029418-25029558, chr16:56330131-56330433; chr17:42990736..42990746,+, chr17:42983868..42983879,-; 80.095613998895786
3;chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr17:42983160..42983176,-; 92.510227542891002; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094; chr17:42990736..42990746,+, chr6:97888712..97888726,+, chr17:42983160..42983176,-; 91.557235442140708; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr17:42984550..42984567,+; 91.231495204313617; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094; chr17:42990736..42990746,+, chr6:97888712..97888726,+, chr17:42983748..42983759,-; 91.158809366120806; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094; chr17:42990736..42990746,+, chr6:97888712..97888726,+, chr17:42984587..42984600,-; 90.256966558913589
4;chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094, chr22:29603016-29603222; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr6:97888712..97888726,+, chr17:42984138..42984151,-; 89.705998125017814; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094, chr22:29603016-29603222; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr6:97888712..97888726,+, chr20:35856764..35856768,+; 89.201043530691194; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094, chr22:29603016-29603222; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr17:42984138..42984151,-, chr17:42991119..42991134,+; 88.966483977197527; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094, chr22:29603016-29603222; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr6:97888712..97888726,+, chr17:42991119..42991134,+; 88.243258687258759; chrX:25029418-25029558, chr16:56330131-56330433, chrX:6137776-6138094, chr22:29603016-29603222; chr17:42990736..42990746,+, chr17:42984179..42984190,-, chr6:97888712..97888726,+, chr17:42984587..42984600,-; 88.093401194748935
;Basophils;;;;;;;;;;;;;;
1;chr2:223267681-223267997,; chr11:128215284..128215295,-,; 65.758463195503452; chr2:223267681-223267997,; chr12:93963797..93963817,+,; 24.952183979663641;;;;;;;;;
2;chr2:223267681-223267997, chr12:116951744-116951929; chr11:128215284..128215295,-, chr17:78844438..78844450,+; 84.13483041482894; chr2:223267681-223267997, chr12:116951744-116951929; chr11:128215284..128215295,-, chr5:142934827..142934833,-; 81.336540701179388; chr2:223267681-223267997, chr12:116951744-116951929; chr11:128215284..128215295,-, chr8:67699980..67700000,+; 80.989081224539987; chr2:223267681-223267997, chr12:116951744-116951929; chr11:128215284..128215295,-, chr12:1921768..1921785,-; 79.797791590347728; chr2:223267681-223267997, chr12:116951744-116951929; chr11:128215284..128215295,-, chr16:2910981..2910988,+; 79.406899679128387
3;chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252; chr11:128215284..128215295,-, chr17:78844438..78844450,+, chr20:5669629..5669651,+; 81.661193175592345; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252; chr11:128215284..128215295,-, chr10:81034106..81034115,-, chr2:57671056..57671067,-; 79.359474966153073; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252; chr11:128215284..128215295,-, chr10:81034106..81034115,-, chr6:170362388..170362397,+; 78.619156243818793; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252; chr11:128215284..128215295,-, chr17:78844438..78844450,+, chr21:34383804..34383825,-; 78.239574644367394; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252; chr11:128215284..128215295,-, chr10:81034106..81034115,-, chr5:142934827..142934833,-; 78.013440925545297
4;chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252, chr1:45736280-45736487; chr11:128215284..128215295,-, chr10:81034106..81034115,-, chr12:29395514..29395527,+, chr12:1921768..1921785,-; 75.451618592913817; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252, chr1:45736280-45736487; chr11:128215284..128215295,-, chr17:78844438..78844450,+, chr12:29395514..29395527,+, chr12:1921768..1921785,-; 74.858704166027081; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252, chr1:45736280-45736487; chr11:128215284..128215295,-, chr10:81034106..81034115,-, chr12:29395514..29395527,+, chr20:5669629..5669651,+; 73.334067068318319; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252, chr1:45736280-45736487; chr11:128215284..128215295,-, chr17:78844438..78844450,+, chr10:81034106..81034115,-, chr12:1921768..1921785,-; 73.317778210436828; chr2:223267681-223267997, chr12:116951744-116951929, chr17:77390025-77390252, chr1:45736280-45736487; chr11:128215284..128215295,-, chr17:78844438..78844450,+, chr12:29395514..29395527,+, chr5:142934827..142934833,-; 73.174436261079592
;Cardiac Myocyte;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr10:73746692-73746892, chr20:2802059-2802221; chr1:160854953..160854975,-, chr1:20354880..20354902,+; 35.887600230042082; chr10:73746692-73746892, chr20:2802059-2802221; chr1:160854953..160854975,-, chr10:25463951..25463976,+; 35.875190963019243; chr10:73746692-73746892, chr20:2802059-2802221; chr1:160854953..160854975,-, chr10:25463899..25463946,+; 34.094461145242263; chr10:73746692-73746892, chr20:2802059-2802221; chr1:160854953..160854975,-, chr1:20355975..20355980,-; 33.871094338831206; chr10:73746692-73746892, chr20:2802059-2802221; chr1:160854953..160854975,-, chrX:154250989..154251004,-; 32.189638657236912
3;chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr10:25463951..25463976,+; 40.634075617867445; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr2:169938317..169938331,+; 38.014693374844718; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr1:20354880..20354902,+; 37.605499026499956; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chrX:154250989..154251004,-; 37.158615725018173; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr12:100867653..100867677,+; 36.614817972612634
4;chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392, chr1:160881277-160881698; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr10:25463951..25463976,+, chr8:11534521..11534533,+; 44.137918201510892; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392, chr1:160881277-160881698; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr1:20354880..20354902,+, chr10:25463951..25463976,+; 39.044392341964638; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392, chr1:160881277-160881698; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr10:25463951..25463976,+, chrX:154250989..154251004,-; 38.047514239616618; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392, chr1:160881277-160881698; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr10:25463951..25463976,+, chr10:25463899..25463946,+; 37.311257863372639; chr10:73746692-73746892, chr20:2802059-2802221, chr18:19746222-19746392, chr1:160881277-160881698; chr1:160854953..160854975,-, chr1:20355975..20355980,-, chr10:25463951..25463976,+, chr18:64271316..64271334,-; 36.289946474202345
;CD14+ CD16- Monocytes;;;;;;;;;;;;;;
1;No VEnCode;;;;;;;;;;;;;;
2;chr9:138937950-138938253, chr19:44185987-44186331; chr9:110800457..110800460,+, chr19:7742914..7742925,+; 53.791406617688651; chr9:138937950-138938253, chr19:44185987-44186331; chr9:110800457..110800460,+, chr2:219243028..219243042,+; 51.359663418326363; chr9:138937950-138938253, chr19:44185987-44186331; chr9:110800457..110800460,+, chr15:58446647..58446729,+; 48.796980200536858; chr9:138937950-138938253, chr19:44185987-44186331; chr9:110800457..110800460,+, chr15:33446964..33446978,-; 48.092398196619058; chr9:138937950-138938253, chr19:44185987-44186331; chr9:110800457..110800460,+, chr21:45770009..45770085,+; 46.178179831992836
3;chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr11:65220998..65221001,+; 67.952173556908974; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr14:104398010..104398021,+; 66.910045337525204; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924; chr2:219243028..219243042,+, chr4:180401309..180401311,+, chr8:48273416..48273419,+; 66.612294417701278; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924; chr2:219243028..219243042,+, chr8:32471880..32471883,+, chr17:72774120..72774160,-; 64.046222854127748; chr9:138937950-138938253, chr19:44185987-44186331, chr16:50719738-50719924; chr2:219243028..219243042,+, chr4:180401309..180401311,+, chr2:174901358..174901381,+; 60.454264030433592
